Year,Area,sum
1948,CBS,8.5
1949,CBS,7.9
1950,CBS,7.8
1951,CBS,8.6
1952,CBS,8
1953,CBS,8.5
1954,CBS,8.1
1955,CBS,7.8
1956,CBS,7.9
1957,CBS,8.7
1958,CBS,8.4
1959,CBS,8.5
1960,CBS,8.2
1961,CBS,8
1962,CBS,8.3
1963,CBS,8.2
1964,CBS,7.4
1965,CBS,7.5
1966,CBS,8.1
1967,CBS,8.7
1968,CBS,8.1
1969,CBS,8.5
1970,CBS,7.8
1971,CBS,7
1972,CBS,7.6
1973,CBS,7.6
1974,CBS,8.1
1975,CBS,7.5
1976,CBS,7.2
1977,CBS,8.8
1978,CBS,8.2
1979,CBS,8.6
1980,CBS,8.3
1981,CBS,8.8
1982,CBS,7.4
1983,CBS,8.7
1984,CBS,8.6
1985,CBS,8.1
1986,CBS,8
1987,CBS,8.8
1988,CBS,8.1
1989,CBS,8.7
1990,CBS,8.2
1991,CBS,8.7
1992,CBS,7.6
1993,CBS,8.6
1994,CBS,7.9
1995,CBS,8.8
1996,CBS,8.4
1997,CBS,9.1
1998,CBS,7.5
1999,CBS,7.3
2000,CBS,8.5
2001,CBS,7.7
2002,CBS,9
2003,CBS,9.8
2004,CBS,10
2005,CBS,9.3
2006,CBS,8.6
2007,CBS,9.2
2008,CBS,8.7
2009,CBS,7.9
2010,CBS,8.5
2011,CBS,7.7
2012,CBS,7.7
2013,CBS,8.8
2014,CBS,10.7
2015,CBS,9.2
2016,CBS,10.7
2017,CBS,9.5
2018,CBS,9.5
1948,EBS,8.4
1949,EBS,8.4
1950,EBS,8.2
1951,EBS,9.2
1952,EBS,8.5
1953,EBS,9.3
1954,EBS,9
1955,EBS,8.3
1956,EBS,8.6
1957,EBS,9.7
1958,EBS,9.2
1959,EBS,9
1960,EBS,8.6
1961,EBS,8.5
1962,EBS,8.8
1963,EBS,8.9
1964,EBS,8.2
1965,EBS,8.3
1966,EBS,8.7
1967,EBS,9.2
1968,EBS,9.1
1969,EBS,9.1
1970,EBS,8.3
1971,EBS,7.6
1972,EBS,8.1
1973,EBS,8.3
1974,EBS,9
1975,EBS,8
1976,EBS,8
1977,EBS,9.6
1978,EBS,8.8
1979,EBS,9.6
1980,EBS,8.9
1981,EBS,9.4
1982,EBS,7.8
1983,EBS,9.9
1984,EBS,8.9
1985,EBS,7.7
1986,EBS,8.4
1987,EBS,9.9
1988,EBS,9.3
1989,EBS,9.3
1990,EBS,9.2
1991,EBS,9.3
1992,EBS,8.5
1993,EBS,9.5
1994,EBS,8.9
1995,EBS,9.4
1996,EBS,8.7
1997,EBS,10.2
1998,EBS,8.9
1999,EBS,8
2000,EBS,8.7
2001,EBS,8.8
2002,EBS,10.2
2003,EBS,10.2
2004,EBS,11.2
2005,EBS,10.5
2006,EBS,8.9
2007,EBS,9.3
2008,EBS,8.3
2009,EBS,8.5
2010,EBS,8
2011,EBS,7.9
2012,EBS,7.5
2013,EBS,9.1
2014,EBS,11.5
2015,EBS,10.6
2016,EBS,12.2
2017,EBS,9.5
2018,EBS,10
1948,WGOA,10.4
1949,WGOA,10.3
1950,WGOA,9.9
1951,WGOA,10.9
1952,WGOA,10.4
1953,WGOA,11.1
1954,WGOA,10.7
1955,WGOA,9.9
1956,WGOA,10.3
1957,WGOA,11.6
1958,WGOA,10.9
1959,WGOA,10.7
1960,WGOA,10.5
1961,WGOA,10.4
1962,WGOA,10.8
1963,WGOA,11
1964,WGOA,10
1965,WGOA,10.2
1966,WGOA,10.2
1967,WGOA,11
1968,WGOA,10.8
1969,WGOA,10.7
1970,WGOA,9.9
1971,WGOA,9.3
1972,WGOA,9.9
1973,WGOA,9.8
1974,WGOA,10.9
1975,WGOA,9.6
1976,WGOA,9.7
1977,WGOA,11.2
1978,WGOA,10.4
1979,WGOA,11.3
1980,WGOA,10.5
1981,WGOA,11
1982,WGOA,9.3
1983,WGOA,11.7
1984,WGOA,11.5
1985,WGOA,10
1986,WGOA,10.2
1987,WGOA,10.9
1988,WGOA,10.7
1989,WGOA,11
1990,WGOA,10.9
1991,WGOA,10.4
1992,WGOA,10.5
1993,WGOA,10.9
1994,WGOA,10.9
1995,WGOA,10.5
1996,WGOA,10.5
1997,WGOA,12.4
1998,WGOA,10.7
1999,WGOA,10.1
2000,WGOA,10.5
2001,WGOA,10.8
2002,WGOA,11.2
2003,WGOA,11.3
2004,WGOA,12.3
2005,WGOA,12.3
2006,WGOA,10.3
2007,WGOA,10.9
2008,WGOA,10
2009,WGOA,10.3
2010,WGOA,9.9
2011,WGOA,10
2012,WGOA,9.4
2013,WGOA,10.7
2014,WGOA,12.6
2015,WGOA,11.6
2016,WGOA,13
2017,WGOA,11.2
2018,WGOA,11.1
