Year,Area,wint
1948,CBS,1.3
1949,CBS,0
1950,CBS,-0.2
1951,CBS,-0.3
1952,CBS,-2.2
1953,CBS,-0.6
1954,CBS,-0.4
1955,CBS,-1.6
1956,CBS,0.3
1957,CBS,1
1958,CBS,1.8
1959,CBS,-0.1
1960,CBS,-1.3
1961,CBS,1.8
1962,CBS,0.7
1963,CBS,-2
1964,CBS,0.1
1965,CBS,1.7
1966,CBS,1.9
1967,CBS,0.2
1968,CBS,0.8
1969,CBS,0.7
1970,CBS,-4
1971,CBS,-0.6
1972,CBS,-1.6
1973,CBS,-1.1
1974,CBS,-3
1975,CBS,-4.8
1976,CBS,-1.7
1977,CBS,1.7
1978,CBS,2.1
1979,CBS,0.5
1980,CBS,0.7
1981,CBS,1.8
1982,CBS,-0.8
1983,CBS,-2.2
1984,CBS,0.8
1985,CBS,0.1
1986,CBS,1.1
1987,CBS,-0.9
1988,CBS,1.5
1989,CBS,-0.3
1990,CBS,-1.4
1991,CBS,-0.9
1992,CBS,-0.1
1993,CBS,-0.3
1994,CBS,-2.1
1995,CBS,1.6
1996,CBS,0.4
1997,CBS,-0.9
1998,CBS,-0.2
1999,CBS,0.3
2000,CBS,1.7
2001,CBS,-0.9
2002,CBS,1
2003,CBS,0.6
2004,CBS,1.4
2005,CBS,0
2006,CBS,-0.1
2007,CBS,-3.5
2008,CBS,-1.3
2009,CBS,-3.8
2010,CBS,0.3
2011,CBS,-4.3
2012,CBS,-2.8
2013,CBS,0
2014,CBS,0.8
2015,CBS,1.1
2016,CBS,1.5
2017,CBS,2.7
2018,CBS,
1948,EBS,1.2
1949,EBS,-0.5
1950,EBS,-0.7
1951,EBS,-1.2
1952,EBS,-1.6
1953,EBS,-3.1
1954,EBS,0.9
1955,EBS,-5.8
1956,EBS,-0.1
1957,EBS,0.8
1958,EBS,-1.2
1959,EBS,-0.1
1960,EBS,0.3
1961,EBS,0.5
1962,EBS,-0.6
1963,EBS,-1.5
1964,EBS,-1.1
1965,EBS,-0.3
1966,EBS,1
1967,EBS,-0.3
1968,EBS,1.4
1969,EBS,0.1
1970,EBS,-5.3
1971,EBS,-2.1
1972,EBS,-1.6
1973,EBS,-4.1
1974,EBS,-4.1
1975,EBS,-7.6
1976,EBS,2.2
1977,EBS,2.3
1978,EBS,2.3
1979,EBS,0.1
1980,EBS,2.1
1981,EBS,0.5
1982,EBS,-0.1
1983,EBS,-1.6
1984,EBS,0.3
1985,EBS,-0.8
1986,EBS,1
1987,EBS,-1
1988,EBS,0.1
1989,EBS,-0.8
1990,EBS,-1.6
1991,EBS,-2.2
1992,EBS,-0.1
1993,EBS,-0.1
1994,EBS,-1.4
1995,EBS,0.7
1996,EBS,-0.7
1997,EBS,-0.4
1998,EBS,-1.9
1999,EBS,0.1
2000,EBS,2.3
2001,EBS,-1.1
2002,EBS,2.1
2003,EBS,0.8
2004,EBS,1.8
2005,EBS,-0.3
2006,EBS,-2.1
2007,EBS,-5.1
2008,EBS,-2.6
2009,EBS,-4.5
2010,EBS,-1.9
2011,EBS,-5.6
2012,EBS,-3.6
2013,EBS,1.2
2014,EBS,1.6
2015,EBS,2.7
2016,EBS,-0.1
2017,EBS,1.6
2018,EBS,
1948,WGOA,3.1
1949,WGOA,3.2
1950,WGOA,3
1951,WGOA,3.2
1952,WGOA,3.4
1953,WGOA,3
1954,WGOA,3.5
1955,WGOA,0.1
1956,WGOA,3.6
1957,WGOA,4
1958,WGOA,2.5
1959,WGOA,3.4
1960,WGOA,3.5
1961,WGOA,3.7
1962,WGOA,3.6
1963,WGOA,3.1
1964,WGOA,2.9
1965,WGOA,3.2
1966,WGOA,3.3
1967,WGOA,3.4
1968,WGOA,3.2
1969,WGOA,4
1970,WGOA,2.6
1971,WGOA,2.3
1972,WGOA,3
1973,WGOA,3
1974,WGOA,2.9
1975,WGOA,2.3
1976,WGOA,4
1977,WGOA,3.9
1978,WGOA,3.9
1979,WGOA,3.6
1980,WGOA,4.1
1981,WGOA,3
1982,WGOA,3.5
1983,WGOA,3.7
1984,WGOA,3.7
1985,WGOA,3.6
1986,WGOA,3.9
1987,WGOA,3
1988,WGOA,2.4
1989,WGOA,2.6
1990,WGOA,2.6
1991,WGOA,3
1992,WGOA,3.2
1993,WGOA,3.8
1994,WGOA,2.4
1995,WGOA,3.3
1996,WGOA,2.5
1997,WGOA,3.9
1998,WGOA,2.2
1999,WGOA,2.7
2000,WGOA,4.2
2001,WGOA,2.6
2002,WGOA,4.6
2003,WGOA,3.1
2004,WGOA,3.9
2005,WGOA,2.9
2006,WGOA,1.9
2007,WGOA,2
2008,WGOA,2.2
2009,WGOA,2.9
2010,WGOA,2.9
2011,WGOA,1.2
2012,WGOA,3.1
2013,WGOA,3.9
2014,WGOA,4.7
2015,WGOA,5.1
2016,WGOA,3.5
2017,WGOA,4
2018,WGOA,
